,Galaxy,re (kpc),rotational velocity,rotational velocity mass (solar mass),star formation rate,star formation density,assymetry,eta average vrot
417,8990-12704,8.229735636142168,0.0,-0.28614438,0.0,-0.28614438,-0.001344818182601993,4.063188792049821
418,8992-12701,6.2401527062053,0.0,1.1242081,0.0,1.1242081,0.009189807181904668,17.512323609496264
419,8992-12702,7.2219444987296875,0.0,0.42513108,0.0,0.42513108,0.0025945658222423823,7.56627305924779
420,8992-3703,3.0891921137571408,0.0,-0.6628049,0.0,-0.6628049,-0.02210782427004101,2.5402933432570354
421,8993-6101,3.3676740502344393,0.0,-1.1676369,0.0,-1.1676369,-0.03277161370454624,1.892262568947257
422,8993-6102,2.920240079682257,0.0,-0.6023958,0.0,-0.6023958,-0.0224851054415813,3.5043669754073523
423,8993-6104,2.808094024723866,0.0,0.90726084,0.0,0.90726084,0.036623428649983455,2.2071696472177136
424,8994-12704,8.959910533798265,0.0,-0.8266665,0.0,-0.8266665,-0.003277729471037713,2.5492092058559987
425,8995-9101,7.727969227530935,0.0,0.152675,0.0,0.152675,0.0008137430564889055,2.373888729475399
426,8996-12701,6.043477480552269,0.0,-0.2974865,0.0,-0.2974865,-0.0025926482154715255,9.808448493718352
427,8996-12702,11.611456641158727,0.0,0.05024529,0.0,0.05024529,0.00011862386337947206,5.784637317310088
428,8996-12704,5.759709053978406,0.0,-0.49199998,0.0,-0.49199998,-0.004720783935097646,3.4982835065038533
429,8996-6102,5.589051913518701,0.0,-0.043103203,0.0,-0.043103203,-0.0004392212926800983,27.797856874628792
430,8997-12703,4.402980874641301,0.0,-1.2993976,0.0,-1.2993976,-0.02133529172473041,2.0857013159415163
431,8997-6103,3.5426301655510364,0.0,-0.4776381,0.0,-0.4776381,-0.01211427568634905,5.227505388697446
432,8998-3703,1.8399846087914522,0.0,-1.3548127,0.0,-1.3548127,-0.12737993389692626,2.507966535031856
433,8998-6102,3.2005299259227655,0.0,-0.5125806,0.0,-0.5125806,-0.015928265471830703,3.990626562470127
434,8999-12705,2.172130976143785,0.0,-1.4142473,0.0,-1.4142473,-0.095412101111211,
435,8999-3704,2.3311950655126306,0.0,-0.5790412,0.0,-0.5790412,-0.03391582221510277,5.191368823499093
436,8999-9101,1.8399846087914522,0.0,-1.3548127,0.0,-1.3548127,-0.12737993389692626,3.6889360168650995
437,9000-12705,6.602554814795411,0.0,-0.16078655,0.0,-0.16078655,-0.0011740208896116795,7.6682859806792365
438,9001-6102,3.2959024623998685,0.0,-0.7531632,0.0,-0.7531632,-0.022069400102414042,1.747391248239212
439,9002-9102,2.647676813374324,0.0,-0.93029094,0.0,-0.93029094,-0.04224146513349528,3.333888470124587
440,9024-12702,5.651810465428565,0.0,-0.40696976,0.0,-0.40696976,-0.004055431633237268,6.082854163960859
441,9024-9102,17.197498889206816,0.0,0.32181215,0.0,0.32181215,0.00034635541976872316,15.1883256716007
442,9029-6104,4.049774663923987,0.0,-1.0690366,0.0,-1.0690366,-0.02074822670262066,2.190442847884826
443,9030-1901,2.3587937795001066,0.0,-1.6964912,0.0,-1.6964912,-0.09705586879507817,0.0
444,9031-12704,5.720542078718011,0.0,0.31704044,0.0,0.31704044,0.003083829971865069,10.090078380273027
445,9032-3703,9.035077469280184,0.0,-0.06908496,0.0,-0.06908496,-0.00026938279774965955,8.059723134161702
446,9032-9102,3.777157137193064,0.0,-0.5917856,0.0,-0.5917856,-0.013203358704872685,16.3645913176138
447,9033-3702,2.7074277329343457,0.0,-0.6419432,0.0,-0.6419432,-0.027876162965223973,5.959841020424149
448,9034-3703,2.85677637610953,0.0,-1.7356666,0.0,-1.7356666,-0.06769614684974304,
449,9034-6103,4.528138715711382,0.0,-1.0913533,0.0,-1.0913533,-0.016942443535692336,1.8306945685176004
450,9035-12704,5.480296070694556,0.0,-0.25553975,0.0,-0.25553975,-0.0027083235190046907,2.5503077402450103
451,9035-3702,2.6628188054545943,0.0,-0.46873003,0.0,-0.46873003,-0.02104212891796404,4.838609136287651
452,9035-9102,4.366694894031041,0.0,-0.48898023,0.0,-0.48898023,-0.008162735692828738,2.5316624742787766
453,9037-12701,4.080093054587681,0.0,-0.7156337,0.0,-0.7156337,-0.013683612558471243,2.1403282309399247
454,9037-9102,7.21472086294309,0.0,-0.3954803,0.0,-0.3954803,-0.002418443366449371,5.551604530771276
455,9038-12704,5.061090085328437,0.0,-0.37567568,0.0,-0.37567568,-0.004668475362446473,3.486040593247818
456,9038-3701,4.204015618586097,0.0,-0.20220399,0.0,-0.20220399,-0.003641759020515146,3.7894463553031272
457,9038-9101,3.708443876219453,0.0,-0.82893443,0.0,-0.82893443,-0.019186108003084804,3.3155451155977698
458,9038-9102,3.540432113985545,0.0,-0.7221773,0.0,-0.7221773,-0.018339244211159147,3.003303875268092
459,9040-12703,7.2881971691127845,0.0,-0.70849043,0.0,-0.70849043,-0.0042456470756134295,2.6080347467823355
460,9040-12704,7.23234422356075,0.0,0.060858715,0.0,0.060858715,0.0003703520316545809,5.272174232305387
461,9042-12701,6.426296792222892,0.0,0.05846471,0.0,0.05846471,0.00045063235075587965,7.8876355733620755
