#Column 1: Rest Wavelength (microns)
#Column 2: Luminosity (W/Hz)
#Column 3: DLnu (W/Hz)
wavelength luminosity  uncertainty
  69.200   1.715E+25   3.210E+24
  69.300   1.721E+25   3.219E+24
  69.400   1.726E+25   3.229E+24
  69.500   1.732E+25   3.239E+24
  69.600   1.737E+25   3.249E+24
  69.700   1.743E+25   3.258E+24
  69.800   1.748E+25   3.268E+24
  69.900   1.754E+25   3.278E+24
  70.000   1.759E+25   3.288E+24
  70.100   1.765E+25   3.297E+24
  70.200   1.770E+25   3.307E+24
  70.300   1.775E+25   3.317E+24
  70.400   1.781E+25   3.326E+24
  70.500   1.786E+25   3.336E+24
  70.600   1.792E+25   3.346E+24
  70.700   1.797E+25   3.355E+24
  70.800   1.803E+25   3.365E+24
  70.900   1.808E+25   3.374E+24
  71.000   1.814E+25   3.384E+24
  71.100   1.819E+25   3.393E+24
  71.200   1.825E+25   3.403E+24
  71.300   1.830E+25   3.412E+24
  71.400   1.836E+25   3.422E+24
  71.500   1.842E+25   3.431E+24
  71.600   1.847E+25   3.441E+24
  71.700   1.853E+25   3.450E+24
  71.800   1.858E+25   3.459E+24
  71.900   1.864E+25   3.469E+24
  72.000   1.869E+25   3.478E+24
  72.100   1.875E+25   3.487E+24
  72.200   1.880E+25   3.497E+24
  72.300   1.886E+25   3.506E+24
  72.400   1.891E+25   3.515E+24
